",""nwspol"",""polintr"",""vote"",""yrbrn"",""trstlgl"",""trstplc"",""trstplt"",""trstprt"",""trstep"""
"1,60,""Hardly interested"",""Yes"",1961,""8"",""8"",""6"",""4"",""2"""
"2,60,""Quite interested"",""Yes"",1960,""7"",""7"",""7"",""7"",""7"""
"3,540,""Quite interested"",""Yes"",1956,""6"",""8"",""5"",NA,""8"""
"4,30,""Quite interested"",""Yes"",1967,""1"",""No trust at all"",""2"",""3"",""3"""
"5,60,""Quite interested"",""Yes"",1972,""9"",""9"",""8"",""8"",""8"""
"6,120,""Very interested"",""Yes"",1964,""7"",""5"",""2"",""2"",""No trust at all"""
"7,60,""Quite interested"",""Yes"",1959,""8"",""9"",""5"",""5"",""3"""
"8,90,""Hardly interested"",""Not eligible to vote"",2000,""7"",""8"",""6"",""8"",""7"""
"9,120,""Quite interested"",""Yes"",1950,""7"",""6"",""6"",""5"",""4"""
"10,60,""Quite interested"",""Yes"",1975,""8"",""8"",""5"",""5"",NA"
"11,120,""Very interested"",""Yes"",1934,""8"",""7"",""4"",""3"",""5"""
"12,30,""Quite interested"",""Yes"",1965,""7"",""7"",""5"",""5"",""4"""
"13,120,""Quite interested"",""Yes"",1950,""5"",""6"",""7"",""7"",""7"""
"14,120,""Hardly interested"",""Yes"",1941,""8"",""9"",""7"",""6"",NA"
"15,60,""Very interested"",""No"",1986,""9"",""7"",""8"",""7"",""8"""
"16,NA,""Quite interested"",""Yes"",1994,""6"",""8"",""6"",""5"",""7"""
"17,60,""Quite interested"",""Yes"",1971,""8"",""8"",""7"",""6"",NA"
"18,20,""Hardly interested"",""Yes"",1982,""7"",""6"",""6"",""6"",""5"""
"19,120,""Quite interested"",""Yes"",1961,""9"",""9"",""8"",""8"",""7"""
"20,20,""Quite interested"",""Not eligible to vote"",2000,""8"",""7"",""6"",""6"",""3"""
"21,20,""Hardly interested"",""Yes"",1977,""6"",""7"",""5"",""6"",""6"""
"22,45,""Quite interested"",""Yes"",1997,""6"",""9"",""4"",""9"",""4"""
"23,150,""Quite interested"",""Yes"",1965,""9"",""8"",""6"",""5"",""2"""
"24,90,""Quite interested"",""Yes"",1953,""4"",""4"",""5"",""5"",""4"""
"25,300,""Quite interested"",""Yes"",1959,""9"",""9"",""2"",""2"",""5"""
"26,20,""Hardly interested"",""Not eligible to vote"",2002,""Complete trust"",""Complete trust"",""8"",""9"",NA"
"27,180,""Quite interested"",""Yes"",1954,""3"",""7"",""7"",""5"",""5"""
"28,30,""Hardly interested"",""Yes"",1989,""9"",""7"",""3"",""5"",""7"""
"29,10,""Hardly interested"",""No"",1989,""9"",""8"",""5"",""5"",NA"
"30,90,""Quite interested"",""Yes"",1994,""8"",""9"",""7"",""7"",""7"""
"31,30,""Hardly interested"",""Yes"",1984,""7"",""8"",""6"",""7"",NA"
"32,60,""Hardly interested"",""Yes"",1961,""Complete trust"",""8"",""3"",""3"",""8"""
"33,120,""Very interested"",""Yes"",1928,""Complete trust"",""Complete trust"",""5"",""5"",""5"""
"34,60,""Quite interested"",""Yes"",1966,""8"",""8"",""7"",""7"",""7"""
"35,120,""Quite interested"",""Yes"",1986,""9"",""8"",""8"",""7"",""6"""
"36,60,""Hardly interested"",""Yes"",1994,""6"",""7"",""4"",""5"",""6"""
"37,60,""Very interested"",""Yes"",1947,""5"",""5"",""No trust at all"",""No trust at all"",""No trust at all"""
"38,60,""Not at all interested"",""Yes"",1995,""5"",""Complete trust"",""4"",""4"",""5"""
"39,30,""Hardly interested"",""Yes"",1997,""4"",""4"",""2"",""2"",NA"
"40,60,""Hardly interested"",""Yes"",1964,""9"",""9"",""7"",""7"",""7"""
"41,60,""Very interested"",""Yes"",1938,""9"",""9"",""7"",""8"",""Complete trust"""
"42,60,""Quite interested"",""Yes"",1965,""8"",""6"",""6"",""7"",NA"
"43,60,""Hardly interested"",""Yes"",1953,""8"",""8"",""7"",""7"",""5"""
"44,60,""Quite interested"",""Yes"",1980,""6"",""6"",""5"",""5"",""6"""
"45,60,""Hardly interested"",""Yes"",1996,""9"",""9"",""6"",""6"",""8"""
"46,30,""Hardly interested"",""Not eligible to vote"",1968,NA,""9"",""6"",""6"",NA"
"47,30,""Quite interested"",""Yes"",1957,""7"",""8"",""6"",""5"",NA"
"48,60,""Not at all interested"",""Yes"",1952,""8"",""8"",""3"",""3"",""No trust at all"""
"49,90,""Quite interested"",""Yes"",1963,""9"",""7"",""5"",""6"",NA"
"50,20,""Hardly interested"",""Yes"",1995,""9"",""8"",""5"",""5"",""6"""
"51,15,""Hardly interested"",""Not eligible to vote"",1967,""7"",""7"",""4"",""7"",""4"""
"52,30,""Quite interested"",""Yes"",1968,""7"",""7"",""6"",""5"",""5"""
"53,150,""Quite interested"",""Yes"",1988,""Complete trust"",""8"",""6"",""6"",NA"
"54,60,""Hardly interested"",""Yes"",1989,""3"",""3"",""No trust at all"",""No trust at all"",""1"""
"55,30,""Hardly interested"",""Yes"",1966,""7"",""9"",""4"",""4"",NA"
"56,150,""Not at all interested"",""Yes"",1953,""7"",""8"",""5"",""5"",NA"
