nwspol,polintr,vote,yrbrn,trstlgl,trstplc,trstplt,trstprt,trstep
60,Hardly interested,Yes,1961,8,8,6,4,2
60,Quite interested,Yes,1960,7,7,7,7,7
540,Quite interested,Yes,1956,6,8,5,NA,8
30,Quite interested,Yes,1967,1,No trust at all,2,3,3
60,Quite interested,Yes,1972,9,9,8,8,8
120,Very interested,Yes,1964,7,5,2,2,No trust at all
60,Quite interested,Yes,1959,8,9,5,5,3
90,Hardly interested,Not eligible to vote,2000,7,8,6,8,7
120,Quite interested,Yes,1950,7,6,6,5,4
60,Quite interested,Yes,1975,8,8,5,5,NA
120,Very interested,Yes,1934,8,7,4,3,5
30,Quite interested,Yes,1965,7,7,5,5,4
120,Quite interested,Yes,1950,5,6,7,7,7
120,Hardly interested,Yes,1941,8,9,7,6,NA
60,Very interested,No,1986,9,7,8,7,8
NA,Quite interested,Yes,1994,6,8,6,5,7
60,Quite interested,Yes,1971,8,8,7,6,NA
20,Hardly interested,Yes,1982,7,6,6,6,5
120,Quite interested,Yes,1961,9,9,8,8,7
20,Quite interested,Not eligible to vote,2000,8,7,6,6,3
20,Hardly interested,Yes,1977,6,7,5,6,6
45,Quite interested,Yes,1997,6,9,4,9,4
150,Quite interested,Yes,1965,9,8,6,5,2
90,Quite interested,Yes,1953,4,4,5,5,4
300,Quite interested,Yes,1959,9,9,2,2,5
20,Hardly interested,Not eligible to vote,2002,Complete trust,Complete trust,8,9,NA
180,Quite interested,Yes,1954,3,7,7,5,5
30,Hardly interested,Yes,1989,9,7,3,5,7
10,Hardly interested,No,1989,9,8,5,5,NA
90,Quite interested,Yes,1994,8,9,7,7,7
30,Hardly interested,Yes,1984,7,8,6,7,NA
60,Hardly interested,Yes,1961,Complete trust,8,3,3,8
120,Very interested,Yes,1928,Complete trust,Complete trust,5,5,5
60,Quite interested,Yes,1966,8,8,7,7,7
120,Quite interested,Yes,1986,9,8,8,7,6
60,Hardly interested,Yes,1994,6,7,4,5,6
60,Very interested,Yes,1947,5,5,No trust at all,No trust at all,No trust at all
60,Not at all interested,Yes,1995,5,Complete trust,4,4,5
30,Hardly interested,Yes,1997,4,4,2,2,NA
60,Hardly interested,Yes,1964,9,9,7,7,7
60,Very interested,Yes,1938,9,9,7,8,Complete trust
60,Quite interested,Yes,1965,8,6,6,7,NA
60,Hardly interested,Yes,1953,8,8,7,7,5
60,Quite interested,Yes,1980,6,6,5,5,6
60,Hardly interested,Yes,1996,9,9,6,6,8
30,Hardly interested,Not eligible to vote,1968,NA,9,6,6,NA
30,Quite interested,Yes,1957,7,8,6,5,NA
60,Not at all interested,Yes,1952,8,8,3,3,No trust at all
90,Quite interested,Yes,1963,9,7,5,6,NA
20,Hardly interested,Yes,1995,9,8,5,5,6
15,Hardly interested,Not eligible to vote,1967,7,7,4,7,4
30,Quite interested,Yes,1968,7,7,6,5,5
150,Quite interested,Yes,1988,Complete trust,8,6,6,NA
60,Hardly interested,Yes,1989,3,3,No trust at all,No trust at all,1
30,Hardly interested,Yes,1966,7,9,4,4,NA
150,Not at all interested,Yes,1953,7,8,5,5,NA
60,Hardly interested,Yes,1996,5,5,5,5,5
30,Hardly interested,Not eligible to vote,1984,Complete trust,1,3,2,9
90,Very interested,Yes,1974,9,9,4,5,5
90,Very interested,Yes,1956,6,8,7,3,1
30,Hardly interested,Yes,1968,8,8,6,6,9
60,Hardly interested,Yes,1954,7,5,2,4,NA
60,Quite interested,Yes,1992,9,8,3,3,8
45,Hardly interested,Yes,1991,Complete trust,Complete trust,7,6,NA
30,Quite interested,Yes,1962,8,7,7,6,7
10,Hardly interested,Yes,1974,8,8,3,4,7
30,Hardly interested,Not eligible to vote,2000,9,9,5,6,NA
120,Quite interested,Yes,1953,7,6,6,6,NA
10,Hardly interested,Yes,1978,7,9,5,5,7
90,Quite interested,Yes,1965,4,8,3,3,No trust at all
60,Quite interested,Not eligible to vote,2001,7,7,6,6,8
60,Hardly interested,No,1983,7,6,4,4,4
120,Very interested,Yes,1930,Complete trust,7,3,3,5
60,Quite interested,Yes,1943,9,8,7,6,5
90,Hardly interested,Yes,1946,8,8,8,7,7
15,Not at all interested,Yes,1994,8,9,6,6,NA
848,Hardly interested,Yes,1999,8,Complete trust,8,7,8
60,Hardly interested,Yes,1970,8,Complete trust,5,4,5
240,Hardly interested,Yes,1963,8,8,5,5,5
120,Quite interested,Yes,1962,8,9,3,3,No trust at all
30,Hardly interested,NA,1995,7,Complete trust,6,5,8
45,Hardly interested,Yes,1987,8,7,5,5,6
60,Hardly interested,Yes,1962,8,7,5,5,8
120,Hardly interested,Yes,1973,9,Complete trust,7,7,NA
60,Quite interested,Yes,1950,4,3,2,2,2
60,Quite interested,No,1986,8,8,6,5,5
30,Hardly interested,Yes,1997,Complete trust,9,7,6,9
10,Quite interested,Yes,1971,2,1,1,No trust at all,No trust at all
20,Quite interested,Yes,NA,6,8,7,7,7
90,Quite interested,Yes,1980,9,8,7,7,7
90,Quite interested,Yes,1960,Complete trust,9,7,9,5
616,Hardly interested,Yes,1986,6,7,5,4,4
60,Quite interested,Yes,1976,4,2,3,1,3
120,Hardly interested,Yes,1973,Complete trust,9,5,6,6
90,Hardly interested,Yes,1957,9,Complete trust,6,8,8
45,Quite interested,Yes,1977,8,2,6,5,7
120,Hardly interested,Yes,1964,7,8,3,4,5
120,Hardly interested,Yes,1972,8,8,5,5,7
30,Hardly interested,Yes,1971,3,5,3,3,5
90,Quite interested,Yes,1950,7,8,4,5,NA
60,Quite interested,Yes,1970,9,8,7,8,7
90,Very interested,Yes,1979,6,8,5,7,5
15,Hardly interested,Not eligible to vote,2002,7,7,7,7,6
15,Quite interested,Yes,1986,7,7,8,8,6
15,Hardly interested,No,1991,7,7,5,5,6
15,Hardly interested,No,1996,3,2,1,1,NA
60,Hardly interested,Yes,1953,9,Complete trust,6,6,6
30,Quite interested,No,2002,Complete trust,Complete trust,8,8,9
30,Hardly interested,Not eligible to vote,1970,8,9,7,7,6
120,Quite interested,Yes,1983,8,8,1,1,4
672,Hardly interested,Yes,1999,8,Complete trust,7,7,8
60,Quite interested,Yes,1974,8,9,7,6,4
30,Very interested,Yes,1973,9,9,5,6,5
90,Quite interested,Yes,1973,9,9,6,6,NA
60,Quite interested,Yes,1964,8,8,5,6,4
60,Quite interested,Yes,1963,9,8,5,6,6
30,Hardly interested,Yes,1979,7,7,5,4,4
120,Very interested,Yes,1979,8,8,3,5,NA
30,Hardly interested,Yes,1997,6,7,5,5,NA
30,Quite interested,Yes,1958,8,9,7,7,7
180,Quite interested,Yes,1985,7,1,1,3,3
240,Very interested,Yes,1972,9,8,7,7,6
120,Very interested,Yes,1956,8,8,7,6,NA
180,Very interested,Yes,1957,2,7,1,1,No trust at all
90,Quite interested,Yes,1931,9,8,8,7,NA
60,Hardly interested,Yes,1989,4,2,5,4,5
